SUM of Value,,Year,,,,,,,,,,,
Country Code,Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Funding received,,,,,,,,,,"317,427,637",,
AFG,Funding received,"3,478,399,538",,,,,,,,,,,
BDI,Funding received,,"635,900,000","85,400,000",,,,,,,,,
BFA,Funding received,"161,948,681","280,096,575",,,,,,,,,,
BGD,Funding received,"1,445,100,000",,,,,,,,,,,
CAF,Funding received,,,"1,751,042,766","287,200,000",,,,,,,,
CIV,Funding received,,,,"101,406,953",,,,,,,,
CMR,Funding received,,"528,000,000","123,600,000",,,,,,,,,
COD,Funding received,,,,"3,997,440,425","652,491,703","827,800,000",,,,,,
COG,Funding received,,,,,,,,"50,863,227",,,,
CUB,Funding received,,,,"22,550,508",,,,,,,,
DJI,Funding received,,,,,"160,046,517",,,,,,,
DMA,Funding received,,,,"15,100,000",,,,,,,,
ETH,Funding received,,,,,"2,246,300,000",,"646,600,000",,,,,
GMB,Funding received,,,,"5,940,200",,,,,,,,
GTM,Funding received,,,,"26,000,000","16,341,541",,,,,,,
HND,Funding received,,,,,"12,400,000",,,,,,,
HTI,Funding received,,,,,"458,882,979","1,335,640,659","36,100,000",,,,,
IDN,Funding received,,,,,,"16,700,000",,,,,,
IRN,Funding received,,,,,,,,"9,600,000",,,,
IRQ,Funding received,,,,,,"3,470,513,653",,,"611,700,000",,,
KEN,Funding received,,,,,,"1,935,013,359",,,,,,
KGZ,Funding received,,,,,"68,617,608",,,,,,,
LBR,Funding received,,,,,,"37,229,017",,,,,,
LBY,Funding received,,,,,,"504,707,324",,,"97,800,000",,,
LKA,Funding received,,,,,,"193,997,424",,,,"26,626,535","99,533,300",
LSO,Funding received,,,,,,"23,805,699",,,,,,
MDG,Funding received,,,,,,"13,300,000",,,,"29,200,000",,
MLI,Funding received,,,,,,,"1,217,824,782",,,"160,000,000",,
MMR,Funding received,,,,,,,"690,633,428",,,"172,300,000",,
MNG,Funding received,,,,,,"3,379,194",,,,,,
MOZ,Funding received,,,,,,"4,600,000",,,,"291,600,000",,
MRT,Funding received,,,,,,"183,553,694","167,900,000",,,,,
NAM,Funding received,,,,,,,"1,682,185",,,,,
NER,Funding received,,,,,,,"1,555,671,539",,,,"221,700,000",
NGA,Funding received,,,,,,,"1,002,700,000","1,020,100,000",,,"504,500,000",
NIC,Funding received,,,,,,,,"5,357,651",,,,
NPL,Funding received,,,,,,,"342,719,785",,,,,
PAK,Funding received,,,,,,,,"2,138,611,155",,,,
PER,Funding received,,,,,,,"11,100,000",,,,,
PHL,Funding received,,,,,,,,"595,855,611",,,,
PRK,Funding received,,,,"256,825,568","32,000,000",,,,,,,
PSE,Funding received,,,,,,,,"2,816,675,262",,,"202,600,000",
SDN,Funding received,,,,,,,,,"5,667,274,022",,"582,000,000",
SEN,Funding received,,,,,,,,"47,300,000",,,,
SLW,Funding received,,,,,,,"5,981,608",,,,,
SOM,Funding received,,,,,,,,"2,426,637,693","2,973,101,029",,"812,300,000",
SSD,Funding received,,,,,,,,,"9,521,804,394",,"1,358,200,000",
SYR,Funding received,,,,,,,,,"3,051,000,000","19,828,771,606","3,740,000,000",
TCD,Funding received,,,"2,464,124,868",,"231,900,000",,,,,,,
UGA,Funding received,,,,,,,,,,"99,109,148",,
UKR,Funding received,,,,,,,,,,"360,300,000",,"81,100,000"
VEN,Funding received,,,,,,,,,,,,"438,100,000"
VUT,Funding received,,,,,,,,,,"21,800,000",,
YEM,Funding received,,,,,,,,,,"3,396,200,000","3,358,281,902","2,970,000,000"
ZWE,Funding received,,,,,,,,,,"652,086,196","221,723,553","233,300,000"
